material,thickness,particle_type,energy,heating_mean,heating_std,total_mean,total_std,flux_mean,flux_std,sensitivity_mean,sensitivity_std,total_prob_mean,total_prob_std
diamond,0.05,neutron,1600000.0,18.370480941595154,0.6527482205882926,8.935602379569693e-05,4.1210935249022586e-07,0.00026057088852406764,1.2012144347624426e-06,1.1481550588496972e-05,4.079676378676829e-07,8.935602379569693e-05,4.1210935249022586e-07
diamond,0.05,neutron,1700000.0,19.401928826110353,0.6558788547272344,8.461973205620564e-05,4.422337775596928e-07,0.00025655957095896284,1.3385936856706833e-06,1.1412899309476678e-05,3.858110910160202e-07,8.461973205620564e-05,4.422337775596928e-07
diamond,0.05,neutron,1800000.0,20.27151284765761,0.8060524042169686,8.154015303063755e-05,3.809082329003919e-07,0.0002565803356070398,1.1983230785102045e-06,1.1261951582032006e-05,4.478068912316492e-07,8.154015303063755e-05,3.809082329003919e-07
diamond,0.05,neutron,1900000.0,21.5179589963093,0.7428481984051953,7.847122833444829e-05,4.2341608231878804e-07,0.00025556304335308885,1.3795335971280027e-06,1.1325241577004895e-05,3.9097273600273437e-07,7.847122833444829e-05,4.2341608231878804e-07
diamond,0.05,neutron,2000000.0,29.27047945813925,0.9200524232731543,0.00010076269951478489,5.31667746716952e-07,0.00025827564879829577,1.2405364356054894e-06,1.4635239729069625e-05,4.600262116365771e-07,0.00010076269951478489,5.31667746716952e-07
diamond,0.05,neutron,2100000.0,22.110727081701075,0.9047027536727571,7.802433135995653e-05,3.4422994798299627e-07,0.0002583067083518427,1.1369765787725036e-06,1.0528917657952893e-05,4.308108350822653e-07,7.802433135995653e-05,3.4422994798299627e-07
diamond,0.05,neutron,2200000.0,22.653568779188422,0.7799373540877139,7.454028048347247e-05,3.284467995718526e-07,0.0002580212229410836,1.1359426459698044e-06,1.0297076717812919e-05,3.5451697913077906e-07,7.454028048347247e-05,3.284467995718526e-07
diamond,0.05,neutron,2300000.0,27.468017912954505,0.9830574812369115,7.347485653545826e-05,3.0952404263176866e-07,0.0002579797491894036,1.0893491245195353e-06,1.1942616483893264e-05,4.2741629618996155e-07,7.347485653545826e-05,3.0952404263176866e-07
diamond,0.05,neutron,2400000.0,25.986168235458425,1.049890613857021,7.301079102757997e-05,3.4718533869636284e-07,0.00025656593313723257,1.2198042950941466e-06,1.0827570098107677e-05,4.374544224404254e-07,7.301079102757997e-05,3.4718533869636284e-07
diamond,0.05,neutron,2500000.0,29.123593480452215,1.110099513905725,7.487651335650149e-05,3.374744968037237e-07,0.00025894440971438443,1.1653989865948943e-06,1.1649437392180886e-05,4.4403980556229e-07,7.487651335650149e-05,3.374744968037237e-07
diamond,0.05,neutron,2600000.0,31.114300139206524,1.0558710622487162,7.747768025635415e-05,3.145267155873085e-07,0.00025708192981165176,1.0430552569452224e-06,1.1967038515079432e-05,4.061042547110447e-07,7.747768025635415e-05,3.145267155873085e-07
diamond,0.05,neutron,2700000.0,36.476805370181765,1.3149873882856429,8.446182923560433e-05,4.515480350799061e-07,0.000257047781136231,1.3719238524692498e-06,1.3509927914882136e-05,4.870323660317196e-07,8.446182923560433e-05,4.515480350799061e-07
diamond,0.05,neutron,2800000.0,45.61136990887253,1.4278323164305329,0.0001049377780850773,4.6598899995793383e-07,0.0002525368776773187,1.08749366009431e-06,1.6289774967454476e-05,5.099401130109046e-07,0.0001049377780850773,4.6598899995793383e-07
diamond,0.05,neutron,2900000.0,46.88528117019846,1.2968561865019745,0.0001160032956893171,5.090308394197841e-07,0.0002543287938800961,1.1078515481558295e-06,1.6167338334551195e-05,4.4719178844895673e-07,0.0001160032956893171,5.090308394197841e-07
diamond,0.05,neutron,3000000.0,26.07989087810045,1.052609369643517,6.024363513546343e-05,2.706221440982119e-07,0.00025530103573296177,1.1314774489722983e-06,8.693296959366817e-06,3.5086978988117234e-07,6.024363513546343e-05,2.706221440982119e-07
diamond,0.05,neutron,3100000.0,37.0037774893047,1.3227980880395172,8.055081286899747e-05,3.6187228713741085e-07,0.00025454534179807054,1.1349784386337971e-06,1.1936702415904743e-05,4.2670906065790877e-07,8.055081286899747e-05,3.6187228713741085e-07
diamond,0.05,neutron,3200000.0,50.66182737252834,1.52903564071851,9.812013262705843e-05,4.7417479617677456e-07,0.0002565134781326446,1.231859950651795e-06,1.5831821053915108e-05,4.778236377245344e-07,9.812013262705843e-05,4.7417479617677456e-07
diamond,0.05,neutron,3300000.0,53.55520093224196,1.4795945377391289,0.00011102218537188074,4.850105541765684e-07,0.00025498031100329335,1.1117912937765534e-06,1.6228848767346047e-05,4.4836198113306936e-07,0.00011102218537188074,4.850105541765684e-07
diamond,0.05,neutron,3400000.0,58.447011376869575,2.0461278613975833,0.00012016259772295286,6.359356861045542e-07,0.000256959981797294,1.3597044583946464e-06,1.7190297463785168e-05,6.018023121757598e-07,0.00012016259772295286,6.359356861045542e-07
diamond,0.05,neutron,3500000.0,58.90565991495886,1.6322216257553301,0.00012230059582106614,5.697520637688922e-07,0.0002580603216688303,1.2019055447966985e-06,1.6830188547131104e-05,4.663490359300943e-07,0.00012230059582106614,5.697520637688922e-07
diamond,0.05,neutron,3600000.0,60.92066586042844,1.9678595206805007,0.00011625395267674813,5.465369511919201e-07,0.0002541244226785212,1.1910027228085658e-06,1.6922407183452346e-05,5.466276446334724e-07,0.00011625395267674813,5.465369511919201e-07
diamond,0.05,neutron,3700000.0,53.94827475135517,1.6448538128940458,0.00010882145892793959,5.635529308950685e-07,0.0002545458950254592,1.3130354385010915e-06,1.458061479766356e-05,4.445550845659583e-07,0.00010882145892793959,5.635529308950685e-07
diamond,0.05,neutron,3800000.0,58.635733398437424,2.1193007296380553,9.945029645154162e-05,4.6111451048810515e-07,0.00025376476670452085,1.1779887362513653e-06,1.5430456157483534e-05,5.57710718325804e-07,9.945029645154162e-05,4.6111451048810515e-07
diamond,0.05,neutron,3900000.0,52.096950845650206,1.881190670771256,9.229847768578426e-05,4.408713561804883e-07,0.0002585215035236899,1.2342208920791802e-06,1.3358192524525693e-05,4.8235658224904e-07,9.229847768578426e-05,4.408713561804883e-07
diamond,0.05,neutron,4000000.0,54.31105690812465,1.7904367158637213,8.393459647479162e-05,4.1574779006456755e-07,0.0002556364128282867,1.2613117337236755e-06,1.3577764227031161e-05,4.4760917896593033e-07,8.393459647479162e-05,4.1574779006456755e-07
diamond,0.05,neutron,4100000.0,48.38233961172503,1.919261542224428,8.516244608345274e-05,4.0583010997219556e-07,0.0002561979118531925,1.214137353484019e-06,1.1800570637006105e-05,4.681125712742507e-07,8.516244608345274e-05,4.0583010997219556e-07
