1.000000000000000056e-01,6.090635416666666940e-03
2.000000000000000111e-01,1.769265208333333297e-02
2.999999999999999889e-01,3.020232916666666656e-02
4.000000000000000222e-01,4.233912708333333053e-02
5.000000000000000000e-01,5.367891874999999868e-02
5.999999999999999778e-01,6.404472499999999680e-02
6.999999999999999556e-01,7.277903541666666531e-02
8.000000000000000444e-01,7.922799375000000310e-02
9.000000000000000222e-01,8.293456875000000672e-02
1.000000000000000000e+00,8.387393333333333090e-02
1.500000000000000000e+00,7.390457708333333930e-02
2.000000000000000000e+00,6.642946041666666912e-02
3.000000000000000000e+00,5.986019791666667006e-02
4.000000000000000000e+00,5.679393958333333464e-02
5.000000000000000000e+00,5.523526458333333222e-02
6.000000000000000000e+00,5.440497916666666572e-02
7.000000000000000000e+00,5.398649166666666388e-02
8.000000000000000000e+00,5.399594374999999724e-02
9.000000000000000000e+00,5.407741041666666582e-02
1.000000000000000000e+01,5.432025208333333272e-02
1.100000000000000000e+01,5.470514374999999735e-02
1.200000000000000000e+01,5.509790416666666968e-02
1.300000000000000000e+01,5.559405416666666350e-02
1.400000000000000000e+01,5.603260000000000185e-02
1.500000000000000000e+01,5.653799791666666574e-02
1.600000000000000000e+01,5.703410208333333647e-02
1.700000000000000000e+01,5.758513333333333678e-02
1.800000000000000000e+01,5.812708750000000063e-02
1.900000000000000000e+01,5.865791041666666705e-02
2.000000000000000000e+01,5.922448958333333124e-02
