1.000000000000000056e-01,1.277211458333333410e-02
2.000000000000000111e-01,1.702197500000000169e-02
2.999999999999999889e-01,2.073773958333333459e-02
4.000000000000000222e-01,2.452957083333333344e-02
5.000000000000000000e-01,2.841101041666666688e-02
5.999999999999999778e-01,3.242493750000000063e-02
6.999999999999999556e-01,3.655452291666666520e-02
8.000000000000000444e-01,4.067347916666666507e-02
9.000000000000000222e-01,4.495181458333333269e-02
1.000000000000000000e+00,4.922326458333333571e-02
1.500000000000000000e+00,7.100789999999999880e-02
2.000000000000000000e+00,9.264748124999999668e-02
3.000000000000000000e+00,1.340440604166666660e-01
4.000000000000000000e+00,1.696321854166666643e-01
5.000000000000000000e+00,2.033020916666666567e-01
6.000000000000000000e+00,2.323897979166666683e-01
7.000000000000000000e+00,2.591425083333333546e-01
8.000000000000000000e+00,2.791914374999999726e-01
9.000000000000000000e+00,3.013635583333333368e-01
1.000000000000000000e+01,3.191282750000000168e-01
1.100000000000000000e+01,3.337690812499999882e-01
1.200000000000000000e+01,3.473838937500000057e-01
1.300000000000000000e+01,3.588778291666666620e-01
1.400000000000000000e+01,3.684788895833333577e-01
1.500000000000000000e+01,3.721487895833333059e-01
1.600000000000000000e+01,3.744863354166666491e-01
1.700000000000000000e+01,3.670021979166666615e-01
1.800000000000000000e+01,3.538424520833333142e-01
1.900000000000000000e+01,3.377023458333333061e-01
